Item;Alнquota IRRF;Alнquota CCP;Alнquota CSLL;Alнquota PIS;Alнquota COFINS;Alнquota INSS;
10.02;1,50%;;;;;;
10.03;1,50%;4,65%;1,00%;0,65%;3,00%;;
10.04;1,50%;;;;;;
10.05;1,00%;4,65%;1,00%;0,65%;3,00%;11,00%;
10.06;1,50%;;;;;;
10.07;1,50%;;;;;;
10.08;1,50%;;;;;11,00%;
10.09;1,50%;4,65%;1,00%;0,65%;3,00%;11,00%;
10.10;1,50%;;;;;11,00%;
11.02;1,00%;4,65%;1,00%;0,65%;3,00%;11,00%;
11.03;1,00%;4,65%;1,00%;0,65%;3,00%;11,00%;
11.04;;;;;;11,00%;
11.05;1,00%;4,65%;1,00%;0,65%;3,00%;11,00%;
01.01;1,50%;4,65%;1,00%;0,65%;3,00%;;
01.02;1,50%;4,65%;1,00%;0,65%;3,00%;;
01.03;1,50%;4,65%;1,00%;0,65%;3,00%;;
01.04;1,50%;4,65%;1,00%;0,65%;3,00%;;
01.05;1,50%;4,65%;1,00%;0,65%;3,00%;;
01.06;1,50%;4,65%;1,00%;0,65%;3,00%;;
01.07;1,50%;4,65%;1,00%;0,65%;3,00%;;
01.08;1,50%;4,65%;1,00%;0,65%;3,00%;;
02.01;1,50%;4,65%;1,00%;0,65%;3,00%;;
03.03;;;;;;11,00%;
03.05;;;;;;11,00%;
04.01;1,50%;4,65%;1,00%;0,65%;3,00%;11,00%;
04.02;1,50%;4,65%;1,00%;0,65%;3,00%;11,00%;
04.03;1,50%;4,65%;1,00%;0,65%;3,00%;11,00%;
04.04;1,50%;4,65%;1,00%;0,65%;3,00%;;
04.05;;;;;;11,00%;
04.06;1,50%;4,65%;1,00%;0,65%;3,00%;11,00%;
04.08;1,50%;4,65%;1,00%;0,65%;3,00%;11,00%;
04.09;1,50%;4,65%;1,00%;0,65%;3,00%;11,00%;
04.10;1,50%;4,65%;1,00%;0,65%;3,00%;;
04.11;1,50%;4,65%;1,00%;0,65%;3,00%;11,00%;
04.12;1,50%;4,65%;1,00%;0,65%;3,00%;11,00%;
04.13;1,50%;4,65%;1,00%;0,65%;3,00%;11,00%;
04.14;1,50%;4,65%;1,00%;0,65%;3,00%;;
